VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS—RAICHUR DISTRICT.

|  Srl. No. | Communities and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. ALL COM-MUNITIES. |  | 1,041,959 | 529,145 | 512,814 | 429,824 | 249,966 | 179,858 | 512,666 | 257,056 | 255,610 | 94,885 | 20,939 | 73,946 | 4,584 | 1,184 | 3,400  |
|  0—1 | .. | 27,590 | 13,025 | 14,565 | 27,411 | 12,962 | 14,449 | 166 | 61 | 105 | 13 | 2 | 11 | .. | .. | ..  |
|  1—5 | .. | 125,614 | 58,253 | 67,361 | 122,469 | 57,209 | 65,260 | 2,774 | 962 | 1,812 | 371 | 82 | 289 | .. | .. | ..  |
|  5—10 | .. | 115,357 | 58,475 | 56,882 | 96,387 | 52,971 | 43,416 | 18,565 | 5,398 | 13,167 | 398 | 106 | 292 | 7 | .. | 7  |
|  10—15 | .. | 109,815 | 62,953 | 46,862 | 81,425 | 53,295 | 28,130 | 27,525 | 9,384 | 18,141 | 838 | 273 | 565 | 27 | 1 | 26  |
|  15—20 | .. | 101,111 | 51,242 | 49,869 | 49,380 | 32,054 | 17,326 | 49,894 | 18,793 | 31,101 | 1,651 | 370 | 1,281 | 186 | 25 | 161  |
|  20—30 | .. | 198,816 | 104,836 | 93,980 | 33,881 | 27,638 | 6,243 | 156,228 | 75,719 | 80,509 | 7,874 | 1,300 | 6,574 | 833 | 179 | 654  |
|  30—40 | .. | 157,477 | 80,790 | 76,687 | 12,307 | 9,303 | 3,004 | 126,541 | 68,469 | 58,072 | 17,494 | 2,800 | 14,694 | 1,135 | 218 | 917  |
|  40—5) | .. | 101,371 | 50,187 | 51,184 | 4,502 | 3,079 | 1,423 | 73,138 | 42,881 | 30,257 | 22,677 | 3,959 | 18,718 | 1,054 | 268 | 786  |
|  50—60 | .. | 65,362 | 30,920 | 34,442 | 1,227 | 826 | 401 | 39,536 | 23,929 | 15,607 | 23,867 | 5,970 | 17,897 | 732 | 195 | 537  |
|  60 & over | .. | 39,446 | 18,464 | 20,982 | 835 | 629 | 206 | 18,299 | 11,400 | 6,839 | 19,702 | 6,077 | 13,625 | 610 | 298 | 312  |
|  2. Brahmanic Hindus. |  | 38,574 | 19,398 | 19,176 | 13,861 | 7,311 | 6,550 | 23,055 | 11,474 | 11,581 | 1,654 | 610 | 1,044 | 4 | 3 | 1  |
|  0—1 | .. | 1,134 | 573 | 561 | 1,134 | 573 | 561 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|  1—5 | .. | 5,005 | 2,686 | 2,319 | 4,986 | 2,677 | 2,309 | 19 | 9 | 10 | .. | .. | .. | .. | .. | ..  |
|  5—10 | .. | 2,597 | 1,317 | 1,280 | 2,553 | 1,296 | 1,257 | 43 | 21 | 22 | 1 | .. | 1 | .. | .. | ..  |
|  10—15 | .. | 3,990 | 1,116 | 2,874 | 2,345 | 1,084 | 1,261 | 1,642 | 32 | 1,610 | 3 | .. | 3 | .. | .. | ..  |
|  15—20 | .. | 4,352 | 1,783 | 2,569 | 1,729 | 693 | 1,036 | 2,601 | 1,090 | 1,511 | 22 | .. | 22 | .. | .. | ..  |
|  20—30 | .. | 9,001 | 5,351 | 3,650 | 917 | 794 | 123 | 7,897 | 4,525 | 3,372 | 186 | 32 | 154 | 1 | .. | 1  |
|  30—40 | .. | 5,924 | 3,116 | 2,808 | 152 | 149 | 3 | 5,533 | 2,917 | 2,616 | 236 | 47 | 189 | 3 | 3 | ..  |
|  40—50 | .. | 3,480 | 1,854 | 1,626 | 30 | 30 | .. | 3,090 | 1,680 | 1,410 | 360 | 144 | 216 | .. | .. | ..  |
|  50—60 | .. | 2,084 | 1,071 | 1,013 | 11 | 11 | .. | 1,636 | 825 | 811 | 437 | 235 | 202 | .. | .. | ..  |
|  60 & over | .. | 1,007 | 531 | 476 | 4 | 4 | .. | 594 | 375 | 219 | 409 | 152 | 257 | .. | .. | ..  |
|  3. Other Hindus. |  | 561,412 | 288,041 | 273,371 | 222,780 | 136,492 | 86,288 | 281,171 | 141,013 | 140,158 | 54,505 | 9,848 | 44,657 | 2,956 | 688 | 2,268  |
|  0—1 | .. | 14,010 | 6,662 | 7,348 | 13,968 | 6,646 | 7,322 | 34 | 16 | 18 | 8 | .. | 8 | .. | .. | ..  |
