TABLE VII.

AGE, SEX &amp; CIVIL CONDITION.

Age, Sex and Civil Condition Part II.—Districts.

|  District | Religion and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14  |
|  Warangal | All Religions | 1,117,693 | 575,819 | 541,874 | 455,841 | 265,140 | 190,701 | 559,172 | 289,424 | 269,748 | 102,680 | 21,255 | 81,425  |
|   | 0-1 | 31,874 | 15,026 | 16,248 | 31,825 | 15,599 | 16,226 | 47 | 27 | 20 | 2 | .. | 2  |
|   | 1-5 | 152,214 | 73,636 | 78,578 | 149,574 | 72,021 | 77,553 | 2,532 | 1,587 | 945 | 108 | 28 | 80  |
|   | 5-10 | 142,556 | 72,643 | 69,913 | 123,518 | 68,158 | 55,360 | 18,529 | 4,413 | 14,116 | 509 | 72 | 437  |
|   | 10-15 | 122,725 | 64,312 | 58,413 | 86,410 | 55,709 | 30,701 | 35,422 | 8,487 | 26,935 | 893 | 116 | 777  |
|   | 15-20 | 100,558 | 50,512 | 50,046 | 32,102 | 26,659 | 5,443 | 66,002 | 23,469 | 42,533 | 2,454 | 384 | 2,070  |
|   | 20-30 | 210,171 | 104,086 | 106,085 | 23,067 | 19,436 | 3,631 | 176,008 | 82,777 | 93,231 | 11,096 | 1,873 | 9,223  |
|   | 30-40 | 148,213 | 80,299 | 67,914 | 4,822 | 3,948 | 874 | 125,399 | 73,157 | 52,242 | 17,992 | 3,194 | 14,798  |
|   | 40-50 | 100,273 | 56,375 | 43,898 | 2,466 | 1,970 | 496 | 73,356 | 49,695 | 23,661 | 24,451 | 4,710 | 19,741  |
|   | 50-60 | 57,884 | 31,977 | 25,907 | 1,268 | 1,028 | 240 | 34,529 | 25,914 | 8,615 | 22,087 | 5,035 | 17,052  |
|   | 60 and over | 51,225 | 26,353 | 21,872 | 789 | 612 | 177 | 27,348 | 19,898 | 7,450 | 23,088 | 5,843 | 17,245  |
|   | Hindu (Brahmanic) | 705,102 | 362,125 | 342,977 | 272,420 | 158,972 | 113,448 | 361,091 | 189,374 | 171,717 | 71,591 | 13,779 | 57,812  |
|   | 0-1 | 19,464 | 9,642 | 9,822 | 19,443 | 9,629 | 9,814 | 20 | 13 | 7 | 1 | .. | 1  |
|   | 1-5 | 90,209 | 43,189 | 47,020 | 88,470 | 42,073 | 46,397 | 1,671 | 1,102 | 569 | 68 | 14 | 54  |
|   | 5-10 | 89,431 | 44,871 | 44,560 | 74,865 | 41,671 | 33,194 | 14,219 | 3,158 | 11,061 | 347 | 42 | 305  |
|   | 10-15 | 77,303 | 40,654 | 36,649 | 51,319 | 34,263 | 17,056 | 25,345 | 6,322 | 19,023 | 639 | 69 | 570  |
|   | 15-20 | 64,071 | 33,021 | 31,050 | 19,265 | 16,053 | 3,212 | 43,019 | 16,717 | 26,272 | 1,787 | 221 | 1,566  |
|   | 20-30 | 132,997 | 67,034 | 65,963 | 14,209 | 11,533 | 2,676 | 110,857 | 54,410 | 56,447 | 7,931 | 1,091 | 6,840  |
|   | 30-40 | 94,265 | 51,102 | 43,163 | 2,799 | 2,253 | 546 | 79,066 | 46,855 | 32,211 | 12,400 | 1,994 | 10,406  |
|   | 40-50 | 64,676 | 35,355 | 29,321 | 1,157 | 876 | 281 | 46,721 | 31,423 | 15,298 | 16,798 | 3,056 | 13,742  |
|   | 50-60 | 37,667 | 20,125 | 17,542 | 578 | 418 | 160 | 21,985 | 16,474 | 5,511 | 15,104 | 3,233 | 11,871  |
|   | 60 and over | 35,019 | 17,132 | 17,887 | 315 | 203 | 112 | 18,188 | 12,870 | 5,318 | 16,516 | 4,059 | 12,457  |
|   | Adi Hindu | 175,687 | 90,922 | 84,765 | 71,998 | 42,289 | 29,709 | 89,365 | 44,878 | 44,487 | 14,324 | 3,755 | 10,569  |
|   | 0-1 | 5,404 | 2,570 | 2,834 | 5,393 | 2,568 | 2,825 | 10 | 2 | 8 | 1 | .. | 1  |
|   | 1-5 | 26,882 | 13,045 | 13,837 | 26,562 | 12,923 | 13,639 | 301 | 117 | 184 | 19 | 5 | 14  |
|   | 5-10 | 21,114 | 10,906 | 10,208 | 18,543 | 10,354 | 8,189 | 2,470 | 543 | 1,927 | 101 | 9 | 92  |
|   | 10-15 | 18,295 | 9,511 | 8,784 | 12,700 | 8,396 | 4,304 | 5,426 | 1,095 | 4,361 | 139 | 20 | 119  |
|   | 15-20 | 15,272 | 7,364 | 7,908 | 4,224 | 3,838 | 386 | 10,692 | 3,424 | 7,268 | 356 | 102 | 254  |
|   | 20-30 | 33,066 | 15,697 | 17,369 | 2,555 | 2,335 | 220 | 28,978 | 12,974 | 16,004 | 1,533 | 388 | 1,145  |
|   | 30-40 | 23,770 | 12,940 | 10,830 | 731 | 666 | 65 | 20,265 | 11,606 | 8,659 | 2,774 | 668 | 2,106  |
|   | 40-50 | 15,547 | 9,069 | 6,478 | 602 | 555 | 47 | 11,403 | 7,720 | 3,683 | 3,542 | 794 | 2,748  |
|   | 50-60 | 8,853 | 5,367 | 3,486 | 439 | 412 | 27 | 5,291 | 1,012 | 1,279 | 3,123 | 943 | 2,180  |
|   | 60 and over | 7,484 | 4,453 | 3,031 | 249 | 242 | 7 | 4,499 | 3,385 | 1,114 | 2,736 | 826 | 1,910  |
