VII.—PART II.—AGE AND CIVIL CONDITION BY DISTRICTS.—WARANGAL DISTRICT.

|  Srl. No. | Communities and Age | POPULATION |   |   | UNMARRIED |   |   | MARRIED |   |   | WIDOWED |   |   | DIVORCED  |   |   |
| --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- | --- |
|   |   |  Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | Persons | Males | Females | P. | M. | F.  |
|  1 | 2 | 3 | 4 | 5 | 6 | 7 | 8 | 9 | 10 | 11 | 12 | 13 | 14 | 15 | 16 | 17  |
|  1. | ALL COMMUNITIES. | 1,321,838 | 682,054 | 639,784 | 540,969 | 315,776 | 225,193 | 659,784 | 337,555 | 322,229 | 118,581 | 27,629 | 90,952 | 2,504 | 1,094 | 1,410  |
|   | 0—1 | 40,330 | 20,269 | 20,061 | 40,326 | 20,269 | 20,057 | 4 | .. | 4 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 165,253 | 83,184 | 82,069 | 163,073 | 82,271 | 80,802 | 2,085 | 912 | 1,173 | 95 | 1 | 94 | .. | .. | ..  |
|   | 5—10 | 167,565 | 83,344 | 84,221 | 144,637 | 77,687 | 67,000 | 22,431 | 5,673 | 16,758 | 487 | 30 | 457 | 10 | 4 | 6  |
|   | 10—15 | 150,794 | 76,822 | 73,972 | 105,456 | 65,200 | 40,256 | 44,401 | 11,528 | 32,873 | 880 | 87 | 793 | 57 | 7 | 50  |
|   | 15—20 | 126,185 | 65,349 | 60,836 | 44,697 | 34,127 | 10,570 | 79,213 | 30,935 | 48,278 | 2,148 | 265 | 1,883 | 127 | 22 | 105  |
|   | 20—30 | 245,768 | 126,211 | 119,557 | 32,112 | 27,871 | 4,241 | 200,752 | 95,428 | 105,324 | 12,411 | 2,701 | 9,710 | 493 | 211 | 282  |
|   | 30—40 | 163,580 | 87,186 | 76,394 | 5,809 | 4,726 | 1,083 | 136,938 | 77,910 | 59,028 | 20,273 | 4,282 | 15,991 | 560 | 268 | 292  |
|   | 40—50 | 117,363 | 64,603 | 52,760 | 2,539 | 1,903 | 636 | 87,897 | 56,565 | 31,332 | 26,427 | 5,914 | 20,513 | 500 | 221 | 279  |
|   | 50—60 | 77,499 | 41,478 | 36,021 | 1,437 | 1,097 | 340 | 48,824 | 33,740 | 15,084 | 26,883 | 6,468 | 20,415 | 355 | 173 | 182  |
|   | 60 & over | 67,501 | 33,608 | 33,898 | 883 | 675 | 208 | 37,239 | 24,864 | 12,375 | 28,977 | 7,881 | 21,096 | 409 | 188 | 214  |
|  2. | Brahmanic Hindus. | 23,875 | 11,515 | 12,360 | 10,169 | 4,935 | 5,235 | 13,169 | 6,425 | 6,744 | 537 | 155 | 382 | .. | .. | ..  |
|   | 0—1 | 555 | 257 | 298 | 555 | 257 | 298 | .. | .. | .. | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 2,414 | 1,136 | 1,278 | 2,399 | 1,134 | 1,265 | 15 | 2 | 13 | .. | .. | .. | .. | .. | ..  |
|   | 5—10 | 2,876 | 1,009 | 1,867 | 2,747 | 984 | 1,763 | 128 | 25 | 103 | 1 | .. | 1 | .. | .. | ..  |
|   | 10—15 | 2,819 | 1,095 | 1,724 | 2,034 | 925 | 1,109 | 779 | 170 | 609 | 6 | .. | 6 | .. | .. | ..  |
|   | 15—20 | 2,771 | 1,390 | 1,381 | 1,205 | 698 | 507 | 1,544 | 687 | 857 | 22 | 5 | 17 | .. | .. | ..  |
|   | 20—30 | 4,263 | 2,245 | 2,018 | 1,132 | 843 | 289 | 3,057 | 1,388 | 1,669 | 74 | 14 | 60 | .. | .. | ..  |
|   | 30—40 | 3,669 | 1,830 | 1,839 | 62 | 62 | .. | 3,497 | 1,732 | 1,765 | 110 | 36 | 74 | .. | .. | ..  |
|   | 40—50 | 1,769 | 930 | 839 | 12 | 11 | 1 | 1,625 | 884 | 741 | 132 | 35 | 97 | .. | .. | ..  |
|   | 50—60 | 1,362 | 734 | 628 | 15 | 13 | 2 | 1,274 | 703 | 571 | 73 | 18 | 55 | .. | .. | ..  |
|   | 60 & over | 1,377 | 889 | 488 | 8 | 8 | .. | 1,250 | 834 | 416 | 119 | 47 | 72 | .. | .. | ..  |
|  3. | Other Hindus | 756,049 | 389,947 | 366,102 | 303,021 | 181,224 | 121,797 | 378,481 | 193,999 | 184,482 | 73,578 | 14,326 | 59,252 | 969 | 398 | 571  |
|   | 0—1 | 25,072 | 12,926 | 12,146 | 25,068 | 12,926 | 12,142 | 4 | .. | 4 | .. | .. | .. | .. | .. | ..  |
|   | 1—5 | 99,412 | 51,094 | 48,318 | 98,062 | 50,486 | 47,576 | 1,303 | 608 | 695 | 47 | .. | 47 | .. | .. | ..  |
