# Age, Sex and Civil Condition.—Western Division.

## A—Total Population.

|  MARRIED. |   |   | WIDOWED.  |   |   |
| --- | --- | --- | --- | --- | --- |
|  Persons. | Males. | Females. | Persons. | Males. | Females.  |
|  8 | 9 | 10 | 11 | 12 | 13  |
|  .. | .. | .. | .. | .. | ..  |
|  .. | .. | .. | .. | .. | ..  |
|  .. | .. | .. | .. | .. | ..  |
|  4 | .. | 4 | .. | .. | ..  |
|  7 | .. | 7 | .. | .. | ..  |
|  11 | .. | 11 | .. | .. | ..  |
|  556 | 97 | 459 | 73 | 32 | 41  |
|  7,926 | 890 | 7,036 | 425 | 112 | 313  |
|  49,359 | 7,237 | 42,122 | 2,184 | 460 | 1,724  |
|  90,671 | 27,696 | 62,975 | 6,179 | 1,790 | 4,389  |
|  127,086 | 56,659 | 70,427 | 11,206 | 3,456 | 7,750  |
|  106,780 | 54,975 | 51,805 | 13,766 | 4,088 | 9,678  |
|  101,116 | 59,201 | 41,915 | 15,644 | 4,179 | 11,465  |
|  71,930 | 44,642 | 27,288 | 20,065 | 4,413 | 15,652  |
|  52,849 | 35,150 | 17,699 | 18,226 | 3,922 | 14,304  |
|  37,206 | 26,030 | 11,176 | 23,031 | 4,641 | 18,390  |
|  21,043 | 15,767 | 5,276 | 14,733 | 3,261 | 11,472  |
|  28,120 | 23,042 | 5,078 | 42,537 | 10,283 | 32,254  |
|  694,653 | 351,386 | 343,267 | 168,069 | 40,637 | 127,432  |
